condition,wer,num_signgloss,intended_meaning,asl_gloss,error_asl_gloss,error_intended_meaning,original_word,misclassified_word
1,0.111,9,"My family is small. It consists of my mother, father, younger sister, and me",MY FAMILY SMALL MOTHER FATHER YOUNG SISTER I FINISH ,MY FAMILY SMALL MOTHER FATHER YOUNG WIFE I FINISH ,"My family is small. It consists of my mother, father, my younger wife, and me",SISTER,WIFE
1,0.167,6,My family has a total of six grandchildren.,MY FAMILY HAVE TOTAL SIX GRANDCHILDREN ,MY FAMILY HAVE TOTAL PERFECT GRANDCHILDREN ,My family has a total of perfect grandchildren.,SIX,PERFECT
1,0.091,11,My family recently moved to New York City because my father was transferred for work at IBM,FAMILY MOVE RECENT WHERE NYC WHY FATHER THERE WORK TRANSFER ns-IBM ,CLASS MOVE RECENT WHERE NYC WHY FATHER THERE WORK TRANSFER ns-IBM ,My class recently moved in New York City because my father is there for work transfer with IBM,FAMILY,CLASS
1,0.000,3,We are fine with the family moving.,FAMILY MOVE WE FINE,FAMILY MOVE WE FINE,"My family moved, and we are fine.",,
1,0.077,13,My family vacation every year is in Florida because everyone loves the sun,MY FAMILY VACATION TOGETHER EVERY-YEAR WHERE THERE FLORIDA WHY EACH ONE LOVE SUNSHINE ,MY CLASS VACATION TOGETHER EVERY-YEAR WHERE THERE FLORIDA WHY EACH ONE LOVE SUNSHINE ,My class goes on vacation together every year in Florida because everyone loves the sunshine.,FAMILY,CLASS
1,0.125,8,"My family likes beer and wine, but I don’t.",MY FAMILY LIKE BEER AND WINE NOT ME ,MY FAMILY LIKE BROWN AND WINE NOT ME ,"My family likes brown and wine, but I don’t.",BEER,BROWN
1,0.167,6,"My father, John, works at the library.",MY FATHER NAME fs-JOHN WORK LIBRARY ,MY FATHER NAME fs-JOHN WORK LUNCH ,"My father, named John, works during lunch.",LIBRARY,LUNCH
1,0.143,7,My father enjoys traveling to different countries,MY FATHER ENJOY TRIP TOUCH(-ARC) DIFFERENT(-ARC) COUNTRY ,MY MOTHER ENJOY TRIP TOUCH(-ARC) DIFFERENT(-ARC) COUNTRY ,My mother enjoys traveling to different countries.,FATHER,MOTHER
1,0.143,7,My father and I both like pineapple and cream cheese,FATHER SAME I LIKE PINEAPPLE CREAM CHEESE ,FATHER YELLOW I LIKE PINEAPPLE CREAM CHEESE ,My father likes pineapple and cream cheese in yellow.,SAME,YELLOW
1,0.167,6,"A long time ago, my father was tall, but now he is short",MY FATHER LONG-AGO ADULT-TALL NOW SHORT-HEIGHT ,MY FATHER LONG-AGO ADULT-TALL NOW CHILD,"My father used to be tall as an adult, but now he looks like a child.",SHORT-HEIGHT,CHILD
1,0.167,6,My sister and father was born in September ,BORN SEPT WHO MY SISTER FATHER ,LEAVE SEPT WHO MY SISTER FATHER ,My sister is leaving in September; my father is taking her.,BORN,LEAVE
